judge_version,snapshot_contract_id,judge_model,generator_model,bundle_file,file,question_id,prompt_variant,trigger_type,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure,total
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_baseline_explicit.pdf,q3,baseline,explicit,2,1,2,1,2,8
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_baseline_implicit.pdf,q3,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_conflict_explicit.pdf,q3,conflict,explicit,2,2,2,1,2,9
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_conflict_implicit.pdf,q3,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_long_explicit.pdf,q3,long,explicit,2,1,2,1,2,8
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_long_implicit.pdf,q3,long,implicit,0,0,0,0,0,0
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_weak_explicit.pdf,q3,weak,explicit,2,2,2,1,2,9
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q3_weak_implicit.pdf,q3,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q4_baseline_explicit.pdf,q4,baseline,explicit,0,0,0,0,0,0
v0_baseline_judge,SC_50_NOEXT,chatgpt,unknown,judge_chatgpt_bundle_claude.json,q4_baseline_implicit.pdf,q4,baseline,implicit,0,0,0,0,0,0
