judge_version,snapshot_contract_id,judge_model,generator_model,bundle_file,file,question_id,prompt_variant,trigger_type,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure,total
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_baseline_explicit.pdf,q3,baseline,explicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_baseline_implicit.pdf,q3,baseline,implicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_conflict_explicit.pdf,q3,conflict,explicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_conflict_implicit.pdf,q3,conflict,implicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_long_explicit.pdf,q3,long,explicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_long_implicit.pdf,q3,long,implicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_weak_explicit.pdf,q3,weak,explicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_weak_implicit.pdf,q3,weak,implicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_baseline_explicit.pdf,q4,baseline,explicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_baseline_implicit.pdf,q4,baseline,implicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_conflict_explicit.pdf,q4,conflict,explicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_conflict_implicit.pdf,q4,conflict,implicit,2,2,2,2,2,10
v2_schema_strict_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_long_explicit.pdf,q4,long,explicit,2,2,2,2,2,10
